phrase,count
ability access,67
ability maintain,20
ability make,65
ability manage,49
ability meet,24
ability obtain,142
ability obtain credit,56
ability obtain housing,22
ability open,22
ability pay,41
ability qualify,20
ability recovery,85
ability recovery services,68
ability resolve,24
ability secure,63
ability secure housing,25
ability use,27
able access,119
able access account,39
able help,37
able make,86
able make payment,23
able obtain,28
able open,23
able pay,56
able provide,94
able reach,35
able receive,20
able speak,35
able use,69
able verify,34
able withdraw,24
abruptly closed,26
absence proper,39
absence proper validation,36
absolutely clear,21
abused privileges,59
abused privileges demand,56
abusive act,33
abusive act practice,26
abusive acts,118
abusive acts practices,113
abusive deceptive,21
abusive practice,28
abusive practices,39
accept payment,42
accept responsibility,21
acceptance corporation,79
accepted payment,30
accepted processed,25
access account,721
access account information,32
access accounts,59
access bank,41
access bank account,21
access banking,26
access card,23
access cash,23
access credit,118
access credit report,25
access device,30
access financial,53
access funds,739
access funds account,23
access funds requesting,23
access information,51
access issues,26
access loan,31
access logs,22
access money,215
access online,77
access online account,22
access online banking,21
access personal,34
access phone,34
access records,37
access statements,23
access use,41
access xx,23
access xx xx,23
accessed account,44
accessing account,39
accessing credit,21
accessing funds,44
accordance applicable,43
accordance fair,132
accordance fair credit,106
accordance fair debt,24
accordance federal,89
accordance federal law,70
accordance rights,35
accordance rights fair,29
according fair,28
according fair credit,26
according fdcpa,67
according fdcpa entitled,22
according fdcpa im,44
according usc,42
accordingly demand,23
accordingly request,22
accordingly sincerely,117
accordingly sincerely ca,43
account able,53
account access,319
account accessed,45
account account,734
account account account,56
account account closed,23
account account ending,21
account account number,68
account account opened,24
account account reported,28
account accounts,28
account accurate,96
account accurately,26
account action,23
account actions,24
account active,130
account actively,38
account activity,298
account added,46
account additional,40
account additionally,90
account address,42
account adjustment,35
account advised,34
account agreed,23
account agreement,73
account alleged,43
account allegedly,38
account allowed,66
account allowed law,49
account ally,30
account american,26
account american express,23
account app,22
account appeared,56
account appeared credit,26
account appearing,74
account appearing credit,65
account appears,143
account appears credit,22
account application,34
account applied,39
account approved,28
account approximately,90
account asked,92
account assigned,20
account associated,186
account attached,36
account attempted,50
account attempting,26
account authorization,105
account authorized,77
account available,30
account aware,21
account balance,656
account balances,66
account bank,342
account bank account,28
account bank america,83
account banks,22
account based,64
account believe,143
account believe sent,22
account belongs,67
account billing,23
account blocked,58
account bmo,25
account bonus,25
account branch,25
account brought,33
account brought current,22
account business,94
account business days,26
account called,158
account capital,56
account card,75
account case,22
account cash,59
account cash app,44
account caused,63
account caused significant,20
account causing,44
account change,22
account changed,39
account changes,32
account charge,78
account charged,211
account charges,48
account chase,67
account check,70
account checking,66
account checking account,45
account chime,38
account circumstances,22
account citi,46
account citibank,88
account claim,36
account clear,56
account clear explanation,21
account clearly,45
account close,55
account closed,1426
account closed account,24
account closed balance,37
account closed bank,26
account closed funds,22
account closed xx,117
account closing,23
account closure,481
account closures,40
account collection,102
account collection agency,31
account collections,105
account company,119
account complaint,22
account complete,58
account completely,24
account compromise,80
account compromised,193
account concern,71
account concern writing,21
account confirm,45
account confirmation,30
account confirmed,70
account connected,22
account consent,42
account considered,36
account constitutes,31
account consumer,290
account consumer credit,53
account consumer reporting,200
account contact,25
account contacted,181
account contacted bank,21
account contains,56
account continue,37
account continued,80
account continues,504
account continues report,27
account continues reported,293
account continues requesting,79
account correct,48
account corrected,82
account corrected removed,20
account correction,42
account cover,29
account created,50
account credit,1756
account credit bureau,41
account credit bureaus,368
account credit card,57
account credit file,89
account credit limit,22
account credit report,482
account credit reporting,457
account credit reports,104
account credited,39
account creditor,36
account current,276
account currently,317
account currently listed,33
account currently reported,116
account currently reporting,21
account customer,32
account data,49
account date,151
account dates,20
account day,78
account days,165
account days late,23
account days later,23
account days past,31
account deactivated,30
account debit,49
account debit card,36
account debited,28
account debt,92
account delete,26
account deleted,254
account deleted credit,91
account deleted immediately,58
account delinquent,111
account demand,24
account denied,46
account deposit,34
account deposited,43
account despite,348
account despite multiple,21
account detailed,20
account details,289
account details evidence,101
account did,470
account did authorize,133
account did open,30
account did receive,35
account didn,84
account didn agree,55
account didnt,27
account different,41
account direct,36
account directly,70
account discovered,27
